Result,Minute of first Goal,Date
2:0,71,2009-08-07T20:30:00
1:0,75,2009-08-08T15:30:00
1:2,36,2009-08-08T15:30:00
2:3,6,2009-08-08T15:30:00
1:0,82,2009-08-08T15:30:00
2:2,5,2009-08-08T15:30:00
1:1,25,2009-08-08T18:30:00
3:3,19,2009-08-09T15:30:00
1:1,3,2009-08-09T17:30:00
1:1,39,2009-08-15T15:30:00
4:2,53,2009-08-15T15:30:00
4:1,3,2009-08-15T15:30:00
1:0,67,2009-08-15T15:30:00
1:1,53,2009-08-15T15:30:00
1:1,17,2009-08-15T15:30:00
1:3,49,2009-08-15T18:30:00
2:1,23,2009-08-16T15:30:00
3:0,39,2009-08-16T17:30:00
0:0,NaN,2009-08-21T20:30:00
1:1,27,2009-08-22T15:30:00
0:0,NaN,2009-08-22T15:30:00
0:5,35,2009-08-22T15:30:00
2:1,25,2009-08-22T15:30:00
0:2,15,2009-08-22T15:30:00
1:0,47,2009-08-23T15:30:00
2:4,3,2009-08-23T17:30:00
3:0,21,2009-08-23T17:30:00
2:0,29,2009-08-28T20:30:00
0:0,NaN,2009-08-29T15:30:00
0:1,40,2009-08-29T15:30:00
2:1,32,2009-08-29T15:30:00
0:1,40,2009-08-29T15:30:00
1:1,62,2009-08-29T15:30:00
3:0,27,2009-08-29T18:30:00
2:3,57,2009-08-30T15:30:00
3:1,19,2009-08-30T17:30:00
2:3,38,2009-09-12T15:30:00
1:5,10,2009-09-12T15:30:00
3:0,16,2009-09-12T15:30:00
0:2,68,2009-09-12T15:30:00
2:1,49,2009-09-12T15:30:00
1:0,30,2009-09-12T15:30:00
3:1,30,2009-09-12T18:30:00
0:0,NaN,2009-09-13T15:30:00
1:2,2,2009-09-13T17:30:00
1:2,55,2009-09-18T20:30:00
2:1,55,2009-09-19T15:30:00
0:2,25,2009-09-19T15:30:00
1:1,45,2009-09-19T15:30:00
2:3,7,2009-09-19T15:30:00
2:4,10,2009-09-19T15:30:00
1:1,8,2009-09-20T15:30:00
0:4,6,2009-09-20T17:30:00
0:0,NaN,2009-09-20T17:30:00
0:1,7,2009-09-25T20:30:00
4:2,8,2009-09-26T15:30:00
0:1,31,2009-09-26T15:30:00
3:0,38,2009-09-26T15:30:00
0:1,82,2009-09-26T15:30:00
0:3,17,2009-09-26T15:30:00
1:0,72,2009-09-26T18:30:00
3:0,54,2009-09-27T15:30:00
5:1,1,2009-09-27T17:30:00
2:0,66,2009-10-02T20:30:00
0:0,NaN,2009-10-03T15:30:00
4:0,2,2009-10-03T15:30:00
5:2,7,2009-10-03T15:30:00
1:1,53,2009-10-03T15:30:00
2:1,6,2009-10-03T15:30:00
0:1,38,2009-10-03T18:30:00
0:2,3,2009-10-04T15:30:00
1:3,9,2009-10-04T17:30:00
1:2,23,2009-10-17T15:30:00
2:0,17,2009-10-17T15:30:00
1:0,42,2009-10-17T15:30:00
2:1,23,2009-10-17T15:30:00
1:2,42,2009-10-17T15:30:00
3:0,18,2009-10-17T15:30:00
0:0,NaN,2009-10-17T18:30:00
2:1,45,2009-10-18T15:30:00
2:0,20,2009-10-18T17:30:00
1:1,8,2009-10-23T20:30:00
2:1,60,2009-10-24T15:30:00
3:0,34,2009-10-24T15:30:00
1:0,31,2009-10-24T15:30:00
0:0,NaN,2009-10-24T15:30:00
3:0,24,2009-10-24T15:30:00
0:0,NaN,2009-10-25T15:30:00
3:3,26,2009-10-25T17:30:00
1:4,1,2009-10-25T17:30:00
2:0,60,2009-10-30T20:30:00
3:3,8,2009-10-31T15:30:00
0:0,NaN,2009-10-31T15:30:00
2:3,13,2009-10-31T15:30:00
0:1,37,2009-10-31T15:30:00
2:2,3,2009-10-31T15:30:00
2:2,29,2009-10-31T18:30:00
0:1,39,2009-11-01T15:30:00
